Source,Target,Type,Weight
UgwUbtyaCQ85gbU-Wht4AaABAg,hFw-GYAlJHc,Directed,1
UgxusFubPrY11OMfw0t4AaABAg,hFw-GYAlJHc,Directed,1
UgwSwwgW4OR7IsI8tQZ4AaABAg,hFw-GYAlJHc,Directed,1
UgxY9_pcMibHjMCcz2Z4AaABAg,l9XuvDXJlZI,Directed,1
UgwQck1Ei-qo3PtEfZV4AaABAg,l9XuvDXJlZI,Directed,1
UgxGU9GyQyAb9z5a_jl4AaABAg,l9XuvDXJlZI,Directed,1
UgxGDLuLWrOq5tVvgbR4AaABAg,l9XuvDXJlZI,Directed,1
UgwuhBlOQP7Afjmc2cF4AaABAg,l9XuvDXJlZI,Directed,1
Ugx1qHVQp9y3IZtOJdx4AaABAg,l9XuvDXJlZI,Directed,1
UgwB0hP63rXBQo8I1el4AaABAg,l9XuvDXJlZI,Directed,1
UgxlemMQsMocxfd8dOh4AaABAg,l9XuvDXJlZI,Directed,1
UgxGxZ8n85za8aOvYs94AaABAg,l9XuvDXJlZI,Directed,1
Ugxvsdv3Y3xmcEvwRA94AaABAg,l9XuvDXJlZI,Directed,1
UgyLoVQxF-N1JA3FD914AaABAg,l9XuvDXJlZI,Directed,1
UgzgXbb7ToDeWTooFcR4AaABAg,l9XuvDXJlZI,Directed,1
UgxJTqUas45H5jwbZzJ4AaABAg,l9XuvDXJlZI,Directed,1
Ugz2S5FOyeqBtcaNHCF4AaABAg,l9XuvDXJlZI,Directed,1
Ugw57iUk0wRlljZ56554AaABAg,l9XuvDXJlZI,Directed,1
UgwKaX6mc2dPtuKg8LZ4AaABAg,l9XuvDXJlZI,Directed,1
UgzN0Faa_S1XsIT2KxJ4AaABAg,l9XuvDXJlZI,Directed,1
UgxegSZ8gU1K0an5zqd4AaABAg,l9XuvDXJlZI,Directed,1
Ugx4cWM196mdi1s6c_B4AaABAg,l9XuvDXJlZI,Directed,1
UgxFsljJjYm1Y10r_n14AaABAg,l9XuvDXJlZI,Directed,1
UgxZiSWiwpFmjgj9top4AaABAg,l9XuvDXJlZI,Directed,1
UgzVyA9wQSAvyt0J_NF4AaABAg,l9XuvDXJlZI,Directed,1
UgxU0giBrL_lAwVHSpN4AaABAg,l9XuvDXJlZI,Directed,1
UgwF-WrN1hxIua8RKM14AaABAg,l9XuvDXJlZI,Directed,1
UgxMHHcj0ilr6mWSZnJ4AaABAg,l9XuvDXJlZI,Directed,1
UgyOoqNNQQpjs8IieNN4AaABAg,l9XuvDXJlZI,Directed,1
UgxuvnS0Rx28mlf7AQh4AaABAg,l9XuvDXJlZI,Directed,1
