Source,Target,Type,Weight
CMT_0534,BlKVfJg4hHE,Directed,1
CMT_0535,BlKVfJg4hHE,Directed,1
CMT_0536,BlKVfJg4hHE,Directed,1
CMT_0537,BlKVfJg4hHE,Directed,1
CMT_0538,BlKVfJg4hHE,Directed,1
CMT_0539,BlKVfJg4hHE,Directed,1
CMT_0540,BlKVfJg4hHE,Directed,1
CMT_0541,BlKVfJg4hHE,Directed,1
CMT_0542,BlKVfJg4hHE,Directed,1
CMT_0543,BlKVfJg4hHE,Directed,1
CMT_0544,BlKVfJg4hHE,Directed,1
CMT_0545,BlKVfJg4hHE,Directed,1
CMT_0546,BlKVfJg4hHE,Directed,1
CMT_0547,BlKVfJg4hHE,Directed,1
CMT_0548,BlKVfJg4hHE,Directed,1
CMT_0549,BlKVfJg4hHE,Directed,1
CMT_0550,BlKVfJg4hHE,Directed,1
CMT_0551,BlKVfJg4hHE,Directed,1
CMT_0552,BlKVfJg4hHE,Directed,1
CMT_0553,BlKVfJg4hHE,Directed,1
CMT_0554,BlKVfJg4hHE,Directed,1
CMT_0555,BlKVfJg4hHE,Directed,1
CMT_0556,BlKVfJg4hHE,Directed,1
CMT_0557,BlKVfJg4hHE,Directed,1
CMT_0558,BlKVfJg4hHE,Directed,1
CMT_0559,BlKVfJg4hHE,Directed,1
CMT_0560,BlKVfJg4hHE,Directed,1
CMT_0561,BlKVfJg4hHE,Directed,1
CMT_0562,BlKVfJg4hHE,Directed,1
CMT_0563,BlKVfJg4hHE,Directed,1
CMT_0564,BlKVfJg4hHE,Directed,1
CMT_0565,BlKVfJg4hHE,Directed,1
CMT_0566,BlKVfJg4hHE,Directed,1
CMT_0567,BlKVfJg4hHE,Directed,1
CMT_0568,BlKVfJg4hHE,Directed,1
CMT_0569,BlKVfJg4hHE,Directed,1
CMT_0570,BlKVfJg4hHE,Directed,1
CMT_0571,BlKVfJg4hHE,Directed,1
CMT_0572,BlKVfJg4hHE,Directed,1
CMT_0573,BlKVfJg4hHE,Directed,1
CMT_0574,BlKVfJg4hHE,Directed,1
CMT_0575,BlKVfJg4hHE,Directed,1
CMT_0576,BlKVfJg4hHE,Directed,1
